 28-14606-04        Tebo-ICT,  license #BoJie
R116         11.2169    7.8963   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R117         10.0971    7.8941  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R118         -0.2787    6.9031    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R119          3.7770    6.9200  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R120          3.8170    6.9200  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R121          3.8570    6.9200  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R122          3.8970    6.9200  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R123          3.9170    7.1950  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R124          3.9170    7.1170  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R125          3.9050    7.3110  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R127          7.4710    6.9194  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R128          7.6354    7.0225   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R129          5.2313    7.6741  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R130          7.6124    6.9517   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R131          4.3050    7.4430    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R132          7.5703    7.0390    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R133          5.2313    7.6341  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R134          7.3656    6.9235  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R135          5.2313    7.7561  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R136          5.2313    7.7961  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R137          4.3740    7.4430  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R138          4.4720    7.6960   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R140          5.2313    7.9181  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R141          5.2313    7.8781  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R142          4.3786    8.0401    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R143          4.3786    8.0001    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R144          4.4720    7.6270  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R145          4.9650    7.5906   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R146          0.2173    0.8281  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R147          2.9550    7.8150  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R148          2.9550    7.7700  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R149          4.9700    7.9700    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R151          4.7995    6.6970  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R152          4.9100    8.1412   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R153          1.6000    7.2800    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R154         -0.2787    6.8531    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R155          1.2110    6.3380  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R156          1.6050    7.2050    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R157          1.2110    6.3380   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R160          4.3300    7.6435  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R161          4.3300    7.6795  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R162          1.1547    6.2259  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R163          1.5810    6.3880   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R164          4.7305    6.6980    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R165          4.2380    7.2931    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R166          4.1500    8.1500   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R167          4.3820    7.6270   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R168          4.8450    8.1400  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R169          4.7500    8.1400   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R170          4.7850    7.6120    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R171          4.5920    7.6520  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R172          4.3500    7.3690  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R173          4.5920    7.6880  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R174         -0.2787    7.0031    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R175          4.1500    7.9650  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R176         -0.2787    7.5731  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R177          4.1150    8.1500   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R178         -0.2787    7.0031  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R179          0.5600    7.3531    0.0  AA   (B)  'R0402-HR-GLASS-S0', 'R0402-HR-GLASS-S0'
R180          4.7830    6.7500   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R181          4.4936    7.8781  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R182          4.4936    7.9181  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R183          4.4936    7.7561  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R184          4.4936    7.7961  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R185          4.4936    8.0001  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R187          5.1163    7.8781    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R188          5.1163    7.9181    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R189          1.1963    7.0281    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R190          5.1163    7.7961    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R191          5.1163    7.7561    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R192          5.1163    7.6341    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R193          5.1163    7.6741    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R194          4.5200    7.6900    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R195          4.7591    6.8364   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R196          0.6178    7.7131  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R197         10.2481    7.9637   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R198         10.2481    8.1137  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R01_Q3V3R    10.2863    7.2831    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R01_QA        0.9563    5.3831    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R01_RR       15.7200    6.0900   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R199          1.4737    6.3119  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R201          4.1850    8.1500  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R202          4.5200    7.6500  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R203          0.4813    6.2681  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R204         -0.2337   -1.4569  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R205          5.0063    8.1431   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R206          4.9563    8.1431   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R207          4.3830    7.6960  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R208         -0.2337   -1.1569  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R212          4.4936    8.0401  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R214          1.0313    6.5471  270.0  AA   (B)  'R0603-S0_B', 'R0603-S0_B'
R215          0.8613    6.3531  180.0  AA   (B)  'R0603-S0_B', 'R0603-S0_B'
R217          0.2813    6.2681  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R218          0.4313    6.2681  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R219          0.3813    6.2681  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R221         -0.2187    4.8181   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R222          6.4571    7.9113    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R223          6.4571    7.9467  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R224          1.3050    7.1250  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R225          1.1963    6.8506  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R226         -0.1650    7.2550   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R227         -0.0650    7.0500  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R228          8.6310    8.1500   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R229          8.3615    8.1670  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R230          8.3890    8.0070  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R231          8.8410    7.8350   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R232         -0.1687    5.0181  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R233          9.3370    8.2045  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R234         10.7213    8.3631  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R235          9.3645    8.0445  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R236         11.0213    8.1381  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R237          1.1963    7.1231  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R238         -0.0650    7.1400  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R239          1.1963    6.8156  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R249         10.7213    7.9131   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R251          0.3713    5.4181  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R253         10.9321    2.3548    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R254          9.5943    2.6121  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R255          9.5973    2.9081  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R256         10.9321    2.2548    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R261         12.5121    2.3548    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R262          0.3313    5.4181   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R263         11.1743    2.6121  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R264          1.4737    6.4119  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R266         11.1773    2.9081  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R267         12.5121    2.2548    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R272         15.6721    2.3548    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R273         14.3343    2.6121  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R274         14.3373    2.9081  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R276         15.6721    2.2548    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R281         14.0921    2.3548    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R282         12.7543    2.6121  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R283         12.7573    2.9081  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R284         14.0921    2.2548    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R293          0.8288    5.0181   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R295          0.9338    5.0181   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R296          0.7113    5.0181   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R298          1.1963    7.5731  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R02_Q3V3R    10.3613    7.1831    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R02_QA        1.0313    5.2831    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R02_RR       15.5900    6.0100   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R299          1.1963    7.2231  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R303          4.8500    7.5156    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R310          4.8063    5.4246   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R311         -0.3187    4.9331   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R313          4.8563    5.4246   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R315          4.7563    5.4246   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R317          4.7063    5.4246   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R319          0.7513    4.8581  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R321          0.5363    4.4731    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R323          0.9025    5.0900  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R325          0.8525    5.1750  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R327          0.4863    4.9431    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R328          1.1963    6.7781  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R347          9.5973    3.1281    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R348          9.5973    3.2781  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R349         11.1773    3.1281    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R350         11.1773    3.2781  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R351         12.7573    3.1281    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R352         12.7573    3.2781  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R353         14.3373    3.1281    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R354         14.3373    3.2781  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R357          4.9600    7.5156    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R360          7.7113    7.6831    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R363          9.5973    3.1281  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R364          9.5973    3.2781    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R365          1.7635    6.8134    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R366          7.8023    8.0531   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R367          7.7603    8.0531   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R368          9.5973    3.2281    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R369          9.5973    3.3281    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R371         11.1773    3.1281  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R372          1.3613    7.3731  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R377         11.1773    3.2781    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R378         11.1773    3.2281    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R379         11.1773    3.3281    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R380         12.7573    3.1281  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R381         12.7573    3.2781    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R382         12.7573    3.2281    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R383         12.7573    3.3281    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R384         14.3373    3.1281  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R385         14.3373    3.2781    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R386         14.3373    3.2281    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R387         14.3373    3.3281    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R396          9.1513    7.4181  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R397          8.6613    7.4181    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R398          8.6613    7.4781    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R03_Q3V3R    10.0863    7.2831    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R03_QA        0.7563    5.3831    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
