 28-14606-04        Tebo-ICT,  license #BoJie

 Board Outline Contour             INCH units               24-June-2021 16:16

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

   14.642      -2.362       0.000
   14.643      -2.372       0.000
   14.647      -2.382       0.000
   14.653      -2.390       0.000
   14.661      -2.396       0.000
   14.671      -2.400       0.000
   14.681      -2.402       0.000
   15.000      -2.402       0.000
   15.010      -2.400       0.000
   15.020      -2.396       0.000
   15.028      -2.390       0.000
   15.034      -2.382       0.000
   15.038      -2.372       0.000
   15.039      -2.362       0.000
   15.039      -1.850       0.000
   15.041      -1.840       0.000
   15.045      -1.831       0.000
   15.051      -1.823       0.000
   15.059      -1.816       0.000
   15.069      -1.812       0.000
   15.079      -1.811       0.000
   15.610      -1.811       0.000
   15.620      -1.812       0.000
   15.630      -1.816       0.000
   15.638      -1.823       0.000
   15.644      -1.831       0.000
   15.648      -1.840       0.000
   15.650      -1.850       0.000
   15.650      -2.362       0.000
   15.651      -2.372       0.000
   15.655      -2.382       0.000
   15.661      -2.390       0.000
   15.669      -2.396       0.000
   15.679      -2.400       0.000
   15.689      -2.402       0.000
   16.122      -2.402       0.000
   16.142      -2.399       0.000
   16.161      -2.391       0.000
   16.178      -2.378       0.000
   16.190      -2.362       0.000
   16.198      -2.343       0.000
   16.201      -2.323       0.000
   16.201       7.931       0.000
   16.198       7.951       0.000
   16.190       7.970       0.000
   16.178       7.986       0.000
   16.161       7.999       0.000
   16.142       8.007       0.000
   16.122       8.009       0.000
   13.863       8.009       0.000
   13.863       8.520       0.000
   13.860       8.540       0.000
   13.852       8.559       0.000
   13.840       8.575       0.000
   13.823       8.588       0.000
   13.804       8.596       0.000
   13.784       8.598       0.000
    1.806       8.598       0.000
    1.786       8.596       0.000
    1.767       8.588       0.000
    1.751       8.575       0.000
    1.738       8.559       0.000
    1.730       8.540       0.000
    1.728       8.520       0.000
    1.728       8.009       0.000
   -0.531       8.009       0.000
   -0.552       8.007       0.000
   -0.571       7.999       0.000
   -0.587       7.986       0.000
   -0.600       7.970       0.000
   -0.608       7.951       0.000
   -0.610       7.931       0.000
   -0.610      -2.323       0.000
   -0.608      -2.343       0.000
   -0.600      -2.362       0.000
   -0.587      -2.378       0.000
   -0.571      -2.391       0.000
   -0.552      -2.399       0.000
   -0.531      -2.402       0.000
    0.709      -2.402       0.000
    0.719      -2.400       0.000
    0.728      -2.396       0.000
    0.737      -2.390       0.000
    0.743      -2.382       0.000
    0.747      -2.372       0.000
    0.748      -2.362       0.000
    0.748      -1.850       0.000
    0.749      -1.840       0.000
    0.753      -1.831       0.000
    0.760      -1.823       0.000
    0.768      -1.816       0.000
    0.777      -1.812       0.000
    0.787      -1.811       0.000
    1.319      -1.811       0.000
    1.329      -1.812       0.000
    1.339      -1.816       0.000
    1.347      -1.823       0.000
    1.353      -1.831       0.000
    1.357      -1.840       0.000
    1.358      -1.850       0.000
    1.358      -2.362       0.000
    1.360      -2.372       0.000
    1.364      -2.382       0.000
    1.370      -2.390       0.000
    1.378      -2.396       0.000
    1.387      -2.400       0.000
    1.398      -2.402       0.000
